what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265000754472
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265000756928
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265000760219
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000769592
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000832946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000833221
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000834610
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000841052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000841913
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000872312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000895370
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000940728
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000941847
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000950049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000951158
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000951736
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001055730
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265001056913
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265001067212
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001099037
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001100386
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001132374
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001133669
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001225670
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265001229829
